name,code
Andhra Pradesh,AP
Arunachal Pradesh,AR
Assam,AS
Bihar,BR
Chhattisgarh,CG
Goa,GA
Gujarat,GJ
Haryana,HR
Himachal Pradesh,HP
Jharkhand,JH
Karnataka,KA
Kerala,KL
Madhya Pradesh,MP
Maharashtra,MH
Manipur,MN
Meghalaya,ML
Mizoram,MZ
Nagaland,NL
Odisha,OD
Punjab,PB
Rajasthan,RJ
Sikkim,SK
Tamil Nadu,TN
Telangana,TS
Tripura,TR
Uttar Pradesh,UP
Uttarakhand,UK
West Bengal,WB
Delhi,DL
Jammu and Kashmir,JK
Ladakh,LA
Puducherry,PY
Chandigarh,CH
Andaman and Nicobar Islands,AN
Dadra and Nagar Haveli and Daman and Diu,DH
Lakshadweep,LD
